Unnamed: 0,ID,MeterId,Time,Phase1_W,Phase1_I,Phase1_V_RY,Phase1_pf,Phase2_W,Phase2_I,Phase2_V_YB,Phase2_pf,Phase3_W,Phase3_I,Phase3_V_BR,Phase3_pf,W,VA,PF,KWh_Im,KWh_Ex,KVAh,Lh
87,200,1,2024-10-11 15:12:34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,3837.42,4445.49,0
88,200,2,2024-10-11 15:12:36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,12394.551,14108.899,0
89,200,3,2024-10-11 15:12:39,0.0,0.0,0.07,1.0,0.0,0.0,0.031,1.0,0.0,0.0,0.088,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
90,200,5,2024-10-11 15:12:42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
91,200,6,2024-10-11 15:12:44,0.0,0.0,0.063,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.177,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
92,200,1,2024-10-11 15:13:47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,3837.42,4445.49,0
93,200,2,2024-10-11 15:13:50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,12394.551,14108.899,0
94,200,3,2024-10-11 15:13:52,0.0,0.0,0.054,1.0,0.0,0.0,0.031,1.0,0.0,0.0,0.088,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
95,200,5,2024-10-11 15:13:55,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
96,200,6,2024-10-11 15:13:57,0.0,0.0,0.063,1.0,0.0,0.0,0.088,1.0,0.0,0.0,0.088,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
97,200,1,2024-10-11 15:15:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,3837.42,4445.49,0
98,200,2,2024-10-11 15:15:03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,12394.551,14108.899,0
99,200,3,2024-10-11 15:15:05,0.0,0.0,0.049,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.049,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
100,200,5,2024-10-11 15:15:08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
101,200,6,2024-10-11 15:15:11,0.0,0.0,0.0,1.0,0.0,0.0,0.044,1.0,0.0,0.0,0.147,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
102,200,1,2024-10-11 15:16:13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,3837.42,4445.49,0
103,200,2,2024-10-11 15:16:16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,12394.551,14108.899,0
104,200,3,2024-10-11 15:16:19,0.0,0.0,0.066,1.0,0.0,0.0,0.022,1.0,0.0,0.0,0.07,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
105,200,5,2024-10-11 15:16:21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
106,200,6,2024-10-11 15:16:24,0.0,0.0,0.044,1.0,0.0,0.0,0.063,1.0,0.0,0.0,0.117,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
107,200,1,2024-10-11 15:17:26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,3837.42,4445.49,0
108,200,2,2024-10-11 15:17:29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,12394.551,14108.899,0
109,200,3,2024-10-11 15:17:32,0.0,0.0,0.063,1.0,0.0,0.0,0.031,1.0,0.0,0.0,0.083,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
110,200,5,2024-10-11 15:17:34,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
111,200,6,2024-10-11 15:17:37,0.0,0.0,0.063,1.0,0.0,0.0,0.044,1.0,0.0,0.0,0.063,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
112,200,1,2024-10-11 15:18:40,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,3837.42,4445.49,0
113,200,2,2024-10-11 15:18:42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,12394.551,14108.899,0
114,200,3,2024-10-11 15:18:45,0.0,0.0,0.054,1.0,0.0,0.0,0.058,1.0,0.0,0.0,0.088,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
115,200,5,2024-10-11 15:18:47,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
116,200,6,2024-10-11 15:18:50,0.0,0.0,0.063,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.088,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
117,200,1,2024-10-11 15:19:53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,3837.42,4445.49,0
118,200,2,2024-10-11 15:19:55,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,12394.551,14108.899,0
119,200,3,2024-10-11 15:19:58,0.0,0.0,0.063,1.0,0.0,0.0,0.038,1.0,0.0,0.0,0.073,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
120,200,5,2024-10-11 15:20:01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
121,200,6,2024-10-11 15:20:03,0.0,0.0,0.099,1.0,0.0,0.0,0.088,1.0,0.0,0.0,0.182,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
122,200,1,2024-10-11 15:21:06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,3837.42,4445.49,0
123,200,2,2024-10-11 15:21:08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,12394.551,14108.899,0
124,200,3,2024-10-11 15:21:11,0.0,0.0,0.054,1.0,0.0,0.0,0.022,1.0,0.0,0.0,0.083,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
125,200,5,2024-10-11 15:21:14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
126,200,6,2024-10-11 15:21:16,0.0,0.0,0.0,1.0,0.0,0.0,0.044,1.0,0.0,0.0,0.063,1.0,0.0,0.0,1.0,0.2,12178.529,13968.28,0
127,200,1,2024-10-11 15:22:19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,3837.42,4445.49,0
128,200,2,2024-10-11 15:22:22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.17,12394.551,14108.899,0
129,200,3,2024-10-11 15:22:24,0.0,0.0,0.054,1.0,0.0,0.0,0.031,1.0,0.0,0.0,0.063,1.0,0.0,0.0,1.0,0.17,17370.529,19702.898,0
130,200,5,2024-10-11 15:22:27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,10894.77,12411.78,0
